"owner","name","url","page","npm","version","stars","downloads","install","added"
"yushenghai1106","dsh-memory-plugin","https://github.com/yushenghai1106/dsh-memory-plugin","https://awesome-dsh-plugin.com/p/yushenghai1106/dsh-memory-plugin/","@yushenghai/dsh-memory-plugin","0.1.0","1","76","dsh plugin --profile web add @yushenghai/dsh-memory-plugin","2026-09-03"
"yuyolin","dsh-decision-log","https://github.com/yuyolin/dsh-decision-log","https://awesome-dsh-plugin.com/p/yuyolin/dsh-decision-log/",,,"1",,"dsh plugin --profile web add github:yuyolin/dsh-decision-log","2026-08-30"
"zhangzhenwen1","qmd-autosearch","https://github.com/zhangzhenwen1/qmd-autosearch","https://awesome-dsh-plugin.com/p/zhangzhenwen1/qmd-autosearch/","qmd-autosearch","0.1.2","0","700","dsh plugin --profile web add qmd-autosearch","2026-08-16"
"zhaoyuntao-wl","dsh-plugin-thread","https://github.com/zhaoyuntao-wl/dsh-plugin-thread","https://awesome-dsh-plugin.com/p/zhaoyuntao-wl/dsh-plugin-thread/",,,"2",,"dsh plugin --profile web add github:zhaoyuntao-wl/dsh-plugin-thread","2026-08-24"
"zhengjy01","dsh-flomo","https://github.com/zhengjy01/dsh-flomo","https://awesome-dsh-plugin.com/p/zhengjy01/dsh-flomo/","dsh-flomo","0.2.1","0","515","dsh plugin --profile web add dsh-flomo","2026-08-15"
"zhengjy01","dsh-flomo-report","https://github.com/zhengjy01/dsh-flomo-report","https://awesome-dsh-plugin.com/p/zhengjy01/dsh-flomo-report/","dsh-flomo-report","0.1.1","0","481","dsh plugin --profile web add dsh-flomo-report","2026-08-29"
"zhengjy01","dsh-notion-connector","https://github.com/zhengjy01/dsh-notion-connector","https://awesome-dsh-plugin.com/p/zhengjy01/dsh-notion-connector/","dsh-notion-connector","0.1.1","1","594","dsh plugin --profile web add dsh-notion-connector","2026-08-16"
"zhujunpeng12","dsh-memory-system","https://github.com/zhujunpeng12/dsh-memory-system","https://awesome-dsh-plugin.com/p/zhujunpeng12/dsh-memory-system/","@zhujunpeng12/dsh-memory-system","0.1.0","8","311","dsh plugin --profile web add @zhujunpeng12/dsh-memory-system","2026-08-21"
"zilliztech","memsearch#MemSearch","https://github.com/zilliztech/memsearch/tree/main/plugins/dsh","https://awesome-dsh-plugin.com/p/zilliztech/memsearch--plugins-dsh/","@zilliz/memsearch-dsh","0.1.5","2603","1373","dsh plugin --profile web add @zilliz/memsearch-dsh","2026-08-24"
"ZSeven-W","dsh-noema","https://github.com/ZSeven-W/dsh-noema","https://awesome-dsh-plugin.com/p/ZSeven-W/dsh-noema/","@zseven-w/dsh-noema","0.1.0-rc.4","128","2015","dsh plugin --profile web add @zseven-w/dsh-noema","2026-08-19"
